number,R,G,B,HEX
1,15,6,3,#0F0603
2,35,17,14,#23110E
3,63,26,16,#3F1A10
4,74,26,52,#4A1A34
5,97,37,15,#61250F
6,139,33,9,#8B2109
7,135,66,24,#874218
8,134,75,69,#864B45
9,179,41,11,#B3290B
10,167,91,50,#A75B32
11,216,46,17,#D82E11
12,188,87,18,#BC5712
13,244,46,31,#F42E1F
14,182,114,108,#B6726C
15,249,62,62,#F93E3E
16,214,122,48,#D67A30
17,206,145,93,#CE915D
18,239,149,81,#EF9551
19,216,166,117,#D8A675
20,230,179,135,#E6B387
21,225,186,161,#E1BAA1
22,236,204,186,#ECCCBA
23,240,224,215,#F0E0D7
24,247,240,237,#F7F0ED
